"都道府県コード","都道府県","接種回数","接種回数算出日時","65歳以上の高齢者数（千人）","65歳以上の高齢者数","高齢者数算出日時","高齢者への接種完了割合"
"1","北海道","77,797","2021/06/17","1,673","1,673,000","2019/01/01","4.65%"
"2","青森県","33,641","2021/06/17","415","415,000","2019/01/01","8.11%"
"3","岩手県","29,535","2021/06/17","406","406,000","2019/01/01","7.27%"
"4","宮城県","23,223","2021/06/17","652","652,000","2019/01/01","3.56%"
"5","秋田県","37,212","2021/06/17","359","359,000","2019/01/01","10.37%"
"6","山形県","36,992","2021/06/17","360","360,000","2019/01/01","10.28%"
"7","福島県","50,036","2021/06/17","582","582,000","2019/01/01","8.60%"
"8","茨城県","38,172","2021/06/17","843","843,000","2019/01/01","4.53%"
"9","栃木県","25,661","2021/06/17","554","554,000","2019/01/01","4.63%"
"10","群馬県","34,036","2021/06/17","580","580,000","2019/01/01","5.87%"
"11","埼玉県","85,885","2021/06/17","1,961","1,961,000","2019/01/01","4.38%"
"12","千葉県","80,514","2021/06/17","1,743","1,743,000","2019/01/01","4.62%"
"13","東京都","190,542","2021/06/17","3,209","3,209,000","2019/01/01","5.94%"
"14","神奈川県","116,262","2021/06/17","2,329","2,329,000","2019/01/01","4.99%"
"15","新潟県","50,267","2021/06/17","720","720,000","2019/01/01","6.98%"
"16","富山県","16,827","2021/06/17","337","337,000","2019/01/01","4.99%"
"17","石川県","34,605","2021/06/17","337","337,000","2019/01/01","10.27%"
"18","福井県","21,150","2021/06/17","235","235,000","2019/01/01","9.00%"
"19","山梨県","19,218","2021/06/17","250","250,000","2019/01/01","7.69%"
"20","長野県","50,559","2021/06/17","653","653,000","2019/01/01","7.74%"
"21","岐阜県","39,161","2021/06/17","599","599,000","2019/01/01","6.54%"
"22","静岡県","53,360","2021/06/17","1,089","1,089,000","2019/01/01","4.90%"
"23","愛知県","112,062","2021/06/17","1,892","1,892,000","2019/01/01","5.92%"
"24","三重県","31,802","2021/06/17","530","530,000","2019/01/01","6.00%"
"25","滋賀県","33,915","2021/06/17","368","368,000","2019/01/01","9.22%"
"26","京都府","50,378","2021/06/17","753","753,000","2019/01/01","6.69%"
"27","大阪府","108,791","2021/06/17","2,434","2,434,000","2019/01/01","4.47%"
"28","兵庫県","77,463","2021/06/17","1,591","1,591,000","2019/01/01","4.87%"
"29","奈良県","26,875","2021/06/17","417","417,000","2019/01/01","6.44%"
"30","和歌山県","55,252","2021/06/17","306","306,000","2019/01/01","18.06%"
"31","鳥取県","22,079","2021/06/17","178","178,000","2019/01/01","12.40%"
"32","島根県","14,881","2021/06/17","231","231,000","2019/01/01","6.44%"
"33","岡山県","42,180","2021/06/17","573","573,000","2019/01/01","7.36%"
"34","広島県","40,097","2021/06/17","823","823,000","2019/01/01","4.87%"
"35","山口県","67,853","2021/06/17","466","466,000","2019/01/01","14.56%"
"36","徳島県","20,246","2021/06/17","245","245,000","2019/01/01","8.26%"
"37","香川県","30,364","2021/06/17","305","305,000","2019/01/01","9.96%"
"38","愛媛県","20,543","2021/06/17","442","442,000","2019/01/01","4.65%"
"39","高知県","17,308","2021/06/17","246","246,000","2019/01/01","7.04%"
"40","福岡県","62,269","2021/06/17","246","246,000","2019/01/01","25.31%"
"41","佐賀県","26,710","2021/06/17","246","246,000","2019/01/01","10.86%"
"42","長崎県","23,284","2021/06/17","433","433,000","2019/01/01","5.38%"
"43","熊本県","35,914","2021/06/17","543","543,000","2019/01/01","6.61%"
"44","大分県","30,309","2021/06/17","373","373,000","2019/01/01","8.13%"
"45","宮崎県","36,485","2021/06/17","346","346,000","2019/01/01","10.54%"
"46","鹿児島県","42,834","2021/06/17","512","512,000","2019/01/01","8.37%"
"47","沖縄県","29,110","2021/06/17","322","322,000","2019/01/01","9.04%"
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""
"","","","","","0","",""